country,zip,primary_city,state_name,state,county,county_code,a,b,latitude,longitude,accuracy,country_name
IT,"67050","Ortucchio","Abruzzi","AB","L'Aquila","AQ","","","41.955","13.6458","4",Italy
IT,"67050","San Sebastiano","Abruzzi","AB","L'Aquila","AQ","","","42.0167","13.3","4",Italy
IT,"67050","Bisegna","Abruzzi","AB","L'Aquila","AQ","","","41.9211","13.7576","4",Italy
IT,"67050","Lecce Nei Marsi","Abruzzi","AB","L'Aquila","AQ","","","41.9338","13.687","4",Italy
IT,"67050","Forme","Abruzzi","AB","L'Aquila","AQ","","","42.1","13.4333","4",Italy
IT,"67050","Grancia","Abruzzi","AB","L'Aquila","AQ","","","41.9464","13.511","3",Italy
IT,"67050","Collelongo","Abruzzi","AB","L'Aquila","AQ","","","41.8868","13.5849","4",Italy
IT,"67050","San Vincenzo Valle Roveto Superiore","Abruzzi","AB","L'Aquila","AQ","","","41.8445","13.5354","4",Italy
IT,"67050","Canistro","Abruzzi","AB","L'Aquila","AQ","","","41.9407","13.4125","4",Italy
IT,"67050","Canistro Inferiore","Abruzzi","AB","L'Aquila","AQ","","","41.9464","13.511","3",Italy
IT,"67050","Ortona Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","41.9973","13.7281","4",Italy
IT,"67050","San Vincenzo Valle Roveto","Abruzzi","AB","L'Aquila","AQ","","","41.8332","13.5237","4",Italy
IT,"67050","Roccavivi","Abruzzi","AB","L'Aquila","AQ","","","41.8121","13.5366","4",Italy
IT,"67050","Morino","Abruzzi","AB","L'Aquila","AQ","","","41.8644","13.457","4",Italy
IT,"67050","Pagliara Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","41.9464","13.511","3",Italy
IT,"67050","Massa D'Albe","Abruzzi","AB","L'Aquila","AQ","","","42.1072","13.3943","4",Italy
IT,"67050","Castellafiume","Abruzzi","AB","L'Aquila","AQ","","","41.9891","13.3344","4",Italy
IT,"67051","Santuario Di Pietracquaria","Abruzzi","AB","L'Aquila","AQ","","","42.0447","13.4278","3",Italy
IT,"67051","Paterno","Abruzzi","AB","L'Aquila","AQ","","","42.05","13.4667","4",Italy
IT,"67051","San Pelino","Abruzzi","AB","L'Aquila","AQ","","","42.05","13.45","4",Italy
IT,"67051","Avezzano","Abruzzi","AB","L'Aquila","AQ","","","42.0402","13.4388","4",Italy
IT,"67051","Antrosano","Abruzzi","AB","L'Aquila","AQ","","","42.0667","13.4","4",Italy
IT,"67051","Cese","Abruzzi","AB","L'Aquila","AQ","","","42.0167","13.3833","4",Italy
IT,"67052","Ridotti","Abruzzi","AB","L'Aquila","AQ","","","41.8167","13.5667","3",Italy
IT,"67052","Balsorano Nuovo","Abruzzi","AB","L'Aquila","AQ","","","41.8167","13.5667","4",Italy
IT,"67052","Ridotti Di Balsorano","Abruzzi","AB","L'Aquila","AQ","","","41.8167","13.5667","3",Italy
IT,"67052","Balsorano","Abruzzi","AB","L'Aquila","AQ","","","41.8167","13.5667","4",Italy
