country,zip,primary_city,state,state_name,county,country_name,latitude,longitude
JP,"100-7005","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7006","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7007","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7008","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7009","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7010","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7011","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7012","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7013","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7014","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7015","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7016","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7017","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7018","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7019","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7020","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7021","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7022","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7023","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7024","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7025","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7026","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7027","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7028","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7029","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7030","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7031","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7032","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7033","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7034","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7035","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7036","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7037","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7038","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-6690","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6601","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6602","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6603","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6604","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6605","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6606","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6607","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6608","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6609","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6610","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
JP,"100-6611","Chiyoda","13","Tokyo","Marunouchi","Japan",35.678646,139.76738
